03-02 09:53:45.841 (I) Mapped "{[/configuration/security]}" onto org.springframework.http.ResponseEntity<springfox.documentation.swagger.web.SecurityConfiguration> springfox.documentation.swagger.web.ApiResourceController.securityConfiguration()  [restartedMain o.s.w.s.m.m.a.RequestMappingHandlerMapping]
03-02 09:53:45.842 (I) Mapped "{[/configuration/ui]}" onto org.springframework.http.ResponseEntity<springfox.documentation.swagger.web.UiConfiguration> springfox.documentation.swagger.web.ApiResourceController.uiConfiguration()  [restartedMain o.s.w.s.m.m.a.RequestMappingHandlerMapping]
03-02 09:53:45.847 (I) Mapped "{[/error]}" onto public org.springframework.http.ResponseEntity<java.util.Map<java.lang.String, java.lang.Object>> org.springframework.boot.autoconfigure.web.BasicErrorController.error(javax.servlet.http.HttpServletRequest)  [restartedMain o.s.w.s.m.m.a.RequestMappingHandlerMapping]
03-02 09:53:45.847 (I) Mapped "{[/error],produces=[text/html]}" onto public org.springframework.web.servlet.ModelAndView org.springframework.boot.autoconfigure.web.BasicErrorController.errorHtml(javax.servlet.http.HttpServletRequest,javax.servlet.http.HttpServletResponse)  [restartedMain o.s.w.s.m.m.a.RequestMappingHandlerMapping]
03-02 09:53:45.892 (I) Looking for @ControllerAdvice: org.springframework.boot.context.embedded.AnnotationConfigEmbeddedWebApplicationContext@76323400: startup date [Fri Feb 03 09:53:44 CET 2017]; root of context hierarchy  [restartedMain o.s.w.s.m.m.a.RequestMappingHandlerAdapter]
03-02 09:53:45.908 (I) Mapped URL path [/webjars/**] onto handler of type [class org.springframework.web.servlet.resource.ResourceHttpRequestHandler]  [restartedMain o.s.w.s.h.SimpleUrlHandlerMapping]
03-02 09:53:45.908 (I) Mapped URL path [/**] onto handler of type [class org.springframework.web.servlet.resource.ResourceHttpRequestHandler]  [restartedMain o.s.w.s.h.SimpleUrlHandlerMapping]
03-02 09:53:45.929 (I) Mapped URL path [/**/favicon.ico] onto handler of type [class org.springframework.web.servlet.resource.ResourceHttpRequestHandler]  [restartedMain o.s.w.s.h.SimpleUrlHandlerMapping]
03-02 09:53:46.020 (I) LiveReload server is running on port 35729  [restartedMain o.s.b.d.a.OptionalLiveReloadServer]
03-02 09:53:46.111 (I) Registering beans for JMX exposure on startup  [restartedMain o.s.j.e.a.AnnotationMBeanExporter]
03-02 09:53:46.123 (I) Context refreshed  [restartedMain s.d.s.w.p.DocumentationPluginsBootstrapper]
03-02 09:53:46.125 (I) Found 1 custom documentation plugin(s)  [restartedMain s.d.s.w.p.DocumentationPluginsBootstrapper]
03-02 09:53:46.127 (I) Scanning for api listing references  [restartedMain s.d.s.w.s.ApiListingReferenceScanner]
03-02 09:53:46.347 (I) Tomcat started on port(s): 8080 (http)  [restartedMain o.s.b.c.e.t.TomcatEmbeddedServletContainer]
03-02 09:53:46.350 (I) Started SimpaticoApplication in 2.222 seconds (JVM running for 50969.662)  [restartedMain e.s.a.SimpaticoApplication]
03-02 11:43:01.328 (I) Closing org.springframework.boot.context.embedded.AnnotationConfigEmbeddedWebApplicationContext@76323400: startup date [Fri Feb 03 09:53:44 CET 2017]; root of context hierarchy  [Thread-17 o.s.b.c.e.AnnotationConfigEmbeddedWebApplicationContext]
03-02 11:43:01.334 (I) Unregistering JMX-exposed beans on shutdown  [Thread-17 o.s.j.e.a.AnnotationMBeanExporter]
